"Site";"Date";"T...C. Mean";"T...C. Se";"Water..cm. Mean";"Water..cm. Se";"Salinity..g.L. Mean";"Salinity..g.L. Se";"pH Mean";"pH Se";"Cd..ppm. Mean";"Cd..ppm. Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Fe..ppm. Mean";"Fe..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"Cu..ppm. Mean";"Cu..ppm. Se";"P..mg.L. Mean";"P..mg.L. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
3;35;9;0;45;0;29.5666666666667;0.0666666666666664;8.45;0.0173205080756889;0.58;0.0115470053837925;0.0663333333333333;0.00114649223479466;0.106666666666667;0.000881917103688198;0.0513;0.000264575131106458;0.348;0.00115470053837925;3.98806666666667;0.0108666666666668;82.87878788;1.06060606
3;67;11;0;50;0;28.3333333333333;0.0881917103688198;8.88;0.0152752523165197;0.0563333333333333;0.00272845092395748;0.86;0.00251661147842359;0.231;0.0101488915650922;0.0611666666666667;0.000480740170061866;0.455666666666667;0.00676592771006147;4.81393333333333;0.0108666666666665;99.39393938;3.16372923168582
3;8;3.5;0;22;0;29.2833333333333;0.305632313591202;8.85333333333333;0.071724782637833;0.66;0.00577350269189626;0.428333333333333;0.00233333333333334;0.179333333333333;0.000881917103688198;0.393333333333333;0.00333333333333334;0.465666666666667;0.00375647588986154;4.12933333333333;0.0108666666666668;71.8181818166667;0.694329652536304
3;98;22.3;0;28;0;31.1833333333333;0.0990510530540242;9.42;0.00999999999999979;0.4315;0.00413561764834872;0.751;0.0115325625946708;1.96733333333333;0.00676592771006149;0.163966666666667;0.00219494368442058;0.0983666666666667;0.000993870101058371;4.3684;0.0188216187755818;84.84848485;1.18337116270577
4;128;23.5;0;23;0;32.6833333333333;0.316666666666668;9.72333333333333;0.0466666666666663;0.753866666666667;0.00166666666666667;1.23233333333333;0.000333333333333371;2.10333333333333;0.0156240555270106;0.168066666666667;0.00352625076312568;0.123233333333333;0.000437162568286801;4.42273333333333;0.0473667018531421;73.7878787866667;13.495059122237
4;159;26.6666666666667;0.333333333333333;10;0;35.3333333333333;0.333333333333333;9.19333333333333;0.00666666666666652;0.813333333333333;0.0335277662708256;1.02866666666667;0.0213723601358806;0.1887;0.00450148123769646;0.0576666666666667;0.000674124947205224;0.234533333333333;0.000497772817435604;4.58573333333333;0.0217333333333333;89.24242424;1.44536242713582
4;189;30.2;0.1;10;0;39.1866666666667;0.207391203070698;8.29666666666667;0.00881917103688234;0.752333333333333;0.00284800124843918;1.337;0.00754983443527074;0.333;0.0285365263010993;0.0714333333333333;0.00017638342073764;0.261;0.00513160143944689;5.69762666666667;0.028768135922309;132.804;0
4;220;39;0;6;0;54.74;0.141067359796659;7.75;0.0264575131106458;0.718;0.00152752523165195;1.24866666666667;0.00088191710368817;0.214666666666667;0.0047022453265553;0.0525333333333333;0.000202758751009941;0.239333333333333;0.010682280239308;6.02382666666667;0.028768135922309;133.83692;0.643199128108864
4;251;28.5;0;4;0;56.0366666666667;0.0491030662088552;7.3;0.0115470053837925;0.713333333333333;0.000333333333333334;1.169;0;0.202333333333333;0.00120185042515466;0.0421333333333333;0.000185592145427668;0.238333333333333;0.00133333333333333;5.98033333333333;0.0434933333333332;144.75636;1.32804
4;294;23;0;6.5;0;50.0933333333333;0.0328295260059867;7.97666666666667;0.0233333333333331;0.671666666666667;0.00643773597194266;1.097;0;0.178;0.000577350269189626;0.0303;0.000100000000000001;0.234666666666667;0.00166666666666666;5.93684;0.0376663315619313;118.34312;0.967615628646003
